Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,M,Engine,E,Engine_range,Power,Seats,Price
Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,2013,54000,Petrol,Manual,Second,20.92 kmpl,20.92,998 CC,998,<1000,67.1 bhp,5,2.75
Honda WRV i-VTEC VX,Honda,Kochi,2018,37430,Petrol,Manual,First,17.5 kmpl,17.50,1199 CC,1199,1000-2000,88.7 bhp,5,9.9
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,12.80,2494 CC,2494,2000-3000,102 bhp,7,4
Renault Duster 110PS Diesel RxZ Pack,Renault,Bangalore,2013,62000,Diesel,Manual,First,19.01 kmpl,19.01,1461 CC,1461,1000-2000,108.45 bhp,5,7.75
Toyota Corolla Altis G,Toyota,Delhi,2012,87615,Petrol,Manual,First,14.53 kmpl,14.53,1798 CC,1798,1000-2000,138.1 bhp,5,6.75
Mahindra Ssangyong Rexton RX7,Mahindra,Bangalore,2013,72000,Diesel,Automatic,Second,11.18 kmpl,11.18,2696 CC,2696,2000-3000,184 bhp,7,12.5
Audi A6 2.7 TDI,Audi,Kolkata,2010,35000,Diesel,Automatic,First,12.4 kmpl,12.40,2698 CC,2698,2000-3000,179.5 bhp,5,11.5
Volkswagen Vento 1.6 Highline,Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,16.09 kmpl,16.09,1598 CC,1598,1000-2000,103.5 bhp,5,6.98
Maruti Wagon R LXI BSIII,Maruti,Jaipur,2009,83816,Petrol,Manual,Second,14.0 kmpl,14.00,1061 CC,1061,1000-2000,64 bhp,5,1.85
Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,2018,50075,Diesel,Manual,First,24.3 kmpl,24.30,1248 CC,1248,1000-2000,88.5 bhp,5,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Delhi,2017,52000,Petrol,Manual,First,18.15 kmpl,18.15,1198 CC,1198,1000-2000,82 bhp,5,4.85
Mercedes-Benz M-Class ML 350 CDI,Mercedes-Benz,Pune,2013,85000,Diesel,Automatic,First,11.74 kmpl,11.74,2987 CC,2987,2000-3000,254.8 bhp,5,28
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Chennai,2013,62000,Diesel,Manual,First,22.07 kmpl,22.07,1199 CC,1199,1000-2000,73.9 bhp,5,5
Maruti Alto LXi,Maruti,Delhi,2008,90000,Petrol,Manual,Second,19.7 kmpl,19.70,796 CC,796,<1000,46.3 bhp,5,1.25
Tata Nano LX SE,Tata,Kochi,2014,19698,Petrol,Manual,First,25.4 kmpl,25.40,624 CC,624,<1000,37.5 bhp,4,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,2017,22033,Diesel,Manual,First,25.32 kmpl,25.32,1198 CC,1198,1000-2000,77 bhp,6,5.58
Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,2014,35487,Petrol,Manual,First,18.5 kmpl,18.50,1197 CC,1197,1000-2000,82.9 bhp,5,4.74
Hyundai Elantra 2.0 SX Option AT,Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,14.62 kmpl,14.62,1999 CC,1999,1000-2000,149.92 bhp,5,8.85
Toyota Corolla Altis G AT,Toyota,Mumbai,2016,52001,Petrol,Automatic,First,14.28 kmpl,14.28,1798 CC,1798,1000-2000,138.03 bhp,5,10.11
Hyundai Elantra CRDi,Hyundai,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9 kmpl,14.90,1991 CC,1991,1000-2000,112.2 bhp,5,4.25
Toyota Innova Crysta 2.7 GX MT,Toyota,Bangalore,2012,70704,Petrol,Manual,First,11.25 kmpl,11.25,2694 CC,2694,2000-3000,163.7 bhp,7,10.95
Hyundai Xcent 1.1 CRDi S,Hyundai,Jaipur,2014,75000,Diesel,Manual,First,24.4 kmpl,24.40,1120 CC,1120,1000-2000,71 bhp,5,3.85
Mahindra Thar CRDe AC,Mahindra,Jaipur,2012,75800,Diesel,Manual,Second,16.55 kmpl,16.55,2498 CC,2498,2000-3000,105 bhp,6,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,2015,13648,Diesel,Automatic,First,17.11 kmpl,17.11,1968 CC,1968,1000-2000,174.33 bhp,5,21.43
Maruti Swift LDI,Maruti,Delhi,2014,52000,Diesel,Manual,First,22.9 kmpl,22.90,1248 CC,1248,1000-2000,74 bhp,5,4.25
Maruti Swift Ldi BSIV,Maruti,Kolkata,2014,53000,Diesel,Manual,First,17.8 kmpl,17.80,1248 CC,1248,1000-2000,75 bhp,5,3.3
Maruti Swift VDI,Maruti,Delhi,2013,65650,Diesel,Manual,First,28.4 kmpl,28.40,1248 CC,1248,1000-2000,74 bhp,5,3.85
Hyundai Grand i10 Sportz,Hyundai,Chennai,2015,54000,Petrol,Manual,Third,18.9 kmpl,18.90,1197 CC,1197,1000-2000,82 bhp,5,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Kolkata,2015,39000,Petrol,Manual,First,15.04 kmpl,15.04,1598 CC,1598,1000-2000,103.2 bhp,5,3.99
Renault KWID RXT,Renault,Kochi,2017,16542,Petrol,Manual,First,25.17 kmpl,25.17,799 CC,799,<1000,53.3 bhp,5,3.3
Hyundai i10 Asta,Hyundai,Kolkata,2010,32000,Petrol,Manual,First,20.36 kmpl,20.36,1197 CC,1197,1000-2000,78.9 bhp,5,2.07
Nissan X-Trail SLX AT,Nissan,Hyderabad,2010,121812,Diesel,Automatic,First,13.29 kmpl,13.29,1995 CC,1995,1000-2000,147.6 bhp,5,7.75
Maruti Zen Estilo VXI BSIII,Maruti,Hyderabad,2010,39300,Petrol,Manual,First,18.2 kmpl,18.20,998 CC,998,<1000,67.1 bhp,5,2.25
Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,2017,22000,Diesel,Manual,First,13.68 kmpl,13.68,2393 CC,2393,2000-3000,147.8 bhp,8,16.5
Ford Figo Diesel Titanium,Ford,Bangalore,2010,72000,Diesel,Manual,First,20.0 kmpl,20.00,1399 CC,1399,1000-2000,68 bhp,5,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mercedes-Benz,Delhi,2015,58000,Petrol,Automatic,First,11.74 kmpl,11.74,1796 CC,1796,1000-2000,186 bhp,5,26.7
Mercedes-Benz New C-Class 200 CDI Classic,Mercedes-Benz,Pune,2011,65000,Diesel,Manual,Second,15.8 kmpl,15.80,2148 CC,2148,2000-3000,170 bhp,5,10
Tata Indica V2 eLS,Tata,Chennai,2016,178000,Diesel,Manual,First,25.0 kmpl,25.00,1396 CC,1396,1000-2000,69 bhp,5,2.5
Audi A4 2.0 TDI Multitronic,Audi,Jaipur,2012,65664,Diesel,Automatic,First,16.55 kmpl,16.55,1968 CC,1968,1000-2000,140 bhp,5,13.5
Honda City ZX CVT,Honda,Mumbai,2007,63000,Petrol,Automatic,Second,16.4 kmpl,16.40,1497 CC,1497,1000-2000,78 bhp,5,1.85
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,Coimbatore,2019,15369,Diesel,Automatic,First,0.0 kmpl,0.00,1950 CC,1950,1000-2000,194 bhp,5,35.67
Maruti Ertiga SHVS VDI,Maruti,Pune,2016,63000,Diesel,Manual,First,24.52 kmpl,24.52,1248 CC,1248,1000-2000,88.5 bhp,7,8.15
Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,2018,13000,Diesel,Manual,First,22.1 kmpl,22.10,1396 CC,1396,1000-2000,88.7 bhp,5,10.5
Porsche Cayenne 2009-2014 Turbo,Porsche,Mumbai,2008,73000,Petrol,Automatic,First,8.5 kmpl,8.50,4806 CC,4806,4000-5000,500 bhp,5,14.5
Mahindra XUV500 W8 4WD,Mahindra,Mumbai,2015,55729,Diesel,Manual,First,15.1 kmpl,15.10,2179 CC,2179,2000-3000,140 bhp,7,9.65
Hyundai i10 Sportz 1.2 AT,Hyundai,Kochi,2012,45178,Petrol,Automatic,First,16.95 kmpl,16.95,1197 CC,1197,1000-2000,78.9 bhp,5,3.48
Nissan Terrano XV D Pre,Nissan,Kochi,2015,56066,Diesel,Manual,First,19.64 kmpl,19.64,1461 CC,1461,1000-2000,108.5 bhp,5,6.92
Honda Brio VX AT,Honda,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5 kmpl,16.50,1198 CC,1198,1000-2000,86.8 bhp,5,6.46
Audi A6 2.0 TDI Design Edition,Audi,Delhi,2014,56000,Diesel,Automatic,Second,18.53 kmpl,18.53,1968 CC,1968,1000-2000,187.74 bhp,5,29.5
Ford Fiesta 1.4 SXi TDCi,Ford,Jaipur,2008,111111,Diesel,Manual,First,17.8 kmpl,17.80,1399 CC,1399,1000-2000,null bhp,5,2
Toyota Innova 2.0 G1,Toyota,Chennai,2006,230000,Petrol,Manual,Third,12.4 kmpl,12.40,1998 CC,1998,1000-2000,132 bhp,8,4.5
Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Hyderabad,2012,104000,Diesel,Manual,First,12.8 kmpl,12.80,2494 CC,2494,2000-3000,102 bhp,7,11.75
Hyundai Santro Xing XL,Hyundai,Hyderabad,2005,87591,Petrol,Manual,First,0.0 kmpl,0.00,1086 CC,1086,1000-2000,null bhp,5,1.3
Maruti Swift VDI,Maruti,Jaipur,2012,95100,Diesel,Manual,First,22.9 kmpl,22.90,1248 CC,1248,1000-2000,74 bhp,5,3.75
Tata Zest Revotron 1.2T XE,Tata,Pune,2017,70000,Petrol,Manual,First,17.57 kmpl,17.57,1193 CC,1193,1000-2000,88.7 bhp,5,4.5
Honda Amaze SX i-VTEC,Honda,Kochi,2016,54944,Petrol,Manual,First,18.0 kmpl,18.00,1198 CC,1198,1000-2000,86.7 bhp,5,4.82
Ford Figo Diesel ZXI,Ford,Hyderabad,2012,70337,Diesel,Manual,First,20.0 kmpl,20.00,1399 CC,1399,1000-2000,68 bhp,5,2.8
Maruti Ritz VDi,Maruti,Jaipur,2013,99638,Diesel,Manual,First,23.2 kmpl,23.20,1248 CC,1248,1000-2000,73.94 bhp,5,3.11
Honda City i VTEC E,Honda,Delhi,2009,52000,Petrol,Manual,First,17.8 kmpl,17.80,1497 CC,1497,1000-2000,117.3 bhp,5,3.25
BMW 5 Series 2003-2012 525d,BMW,Delhi,2011,75000,Diesel,Automatic,Second,16.73 kmpl,16.73,1995 CC,1995,1000-2000,218 bhp,5,13.9
Hyundai i10 Sportz 1.2,Hyundai,Pune,2009,95980,Petrol,Manual,First,20.36 kmpl,20.36,1197 CC,1197,1000-2000,78.9 bhp,5,2.25
Hyundai Grand i10 Sportz,Hyundai,Bangalore,2016,16000,Petrol,Manual,First,18.9 kmpl,18.90,1197 CC,1197,1000-2000,82 bhp,5,5.75
Hyundai Santro Xing XO,Hyundai,Hyderabad,2007,73745,Petrol,Manual,First,17.0 kmpl,17.00,1086 CC,1086,1000-2000,null bhp,5,2.1
Honda Amaze SX i-VTEC,Honda,Mumbai,2016,18949,Petrol,Manual,First,17.8 kmpl,17.80,1198 CC,1198,1000-2000,86.7 bhp,5,5
Toyota Fortuner 4x2 Manual,Toyota,Delhi,2014,107000,Diesel,Manual,First,13.0 kmpl,13.00,2982 CC,2982,2000-3000,168.5 bhp,7,16.5
Audi A6 2011-2015 35 TDI Premium,Audi,Coimbatore,2018,48367,Diesel,Automatic,First,17.68 kmpl,17.68,1968 CC,1968,1000-2000,174.33 bhp,5,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Delhi,2013,57000,Diesel,Manual,First,22.7 kmpl,22.70,1498 CC,1498,1000-2000,89.84 bhp,5,5.5
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2014,58000,Diesel,Manual,First,15.1 kmpl,15.10,2179 CC,2179,2000-3000,140 bhp,7,8.1
Honda Amaze SX i-DTEC,Honda,Kolkata,2015,30000,Diesel,Manual,First,25.8 kmpl,25.80,1498 CC,1498,1000-2000,98.6 bhp,5,3.5
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,2013,34212,Diesel,Manual,First,22.07 kmpl,22.07,1199 CC,1199,1000-2000,73.9 bhp,5,2.79
Hyundai Verna Transform SX VGT CRDi,Hyundai,Ahmedabad,2010,70002,Diesel,Manual,First,16.2 kmpl,16.20,1493 CC,1493,1000-2000,110 bhp,5,3.45
Maruti Wagon R VXI BS IV,Maruti,Bangalore,2016,62000,Petrol,Manual,First,18.9 kmpl,18.90,998 CC,998,<1000,67.1 bhp,5,4.45
Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Delhi,2010,62001,Petrol,Manual,First,15.26 kmpl,15.26,1598 CC,1598,1000-2000,103.5 bhp,5,2.65
Hyundai i20 1.4 CRDi Sportz,Hyundai,Pune,2011,78958,Diesel,Manual,Second,23.0 kmpl,23.00,1396 CC,1396,1000-2000,90 bhp,5,3.8
Hyundai i20 Asta 1.2,Hyundai,Mumbai,2014,30180,Petrol,Manual,First,18.5 kmpl,18.50,1197 CC,1197,1000-2000,82.85 bhp,5,4.65
Datsun GO Plus T Petrol,Datsun,Pune,2017,32851,Petrol,Manual,First,19.83 kmpl,19.83,1198 CC,1198,1000-2000,67 bhp,7,3.95
Audi A4 3.0 TDI Quattro Premium,Audi,Kolkata,2010,30000,Diesel,Automatic,First,14.94 kmpl,14.94,2967 CC,2967,2000-3000,241.4 bhp,5,9.8
Hyundai i20 2015-2017 Asta,Hyundai,Pune,2009,66000,Petrol,Manual,Second,17.0 kmpl,17.00,1197 CC,1197,1000-2000,80 bhp,5,2.7
Maruti Omni 5 Str STD,Maruti,Coimbatore,2010,93850,Petrol,Manual,First,14.0 kmpl,14.00,796 CC,796,<1000,35 bhp,5,2.41
Toyota Etios Liva 1.2 G,Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,17.71 kmpl,17.71,1197 CC,1197,1000-2000,78.9 bhp,5,3.9
Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74 kmpl,14.74,2993 CC,2993,2000-3000,270.9 bhp,5,24
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2012,65000,Diesel,Manual,Second,16.0 kmpl,16.00,2179 CC,2179,2000-3000,140 bhp,7,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kolkata,2014,40000,Diesel,Automatic,First,22.32 kmpl,22.32,1582 CC,1582,1000-2000,126.32 bhp,5,5.25
Toyota Innova Crysta 2.8 ZX AT,Toyota,Mumbai,2017,30000,Diesel,Automatic,First,11.36 kmpl,11.36,2755 CC,2755,2000-3000,171.5 bhp,7,19.25
Maruti Eeco 5 Seater AC,Maruti,Coimbatore,2017,38053,Petrol,Manual,First,15.1 kmpl,15.10,1196 CC,1196,1000-2000,73 bhp,5,3.91
Tata Nano Twist XT,Tata,Bangalore,2014,25500,Petrol,Manual,First,25.4 kmpl,25.40,624 CC,624,<1000,37.5 bhp,4,2.15
BMW 3 Series 320d Luxury Line,BMW,Mumbai,2015,56087,Diesel,Automatic,First,22.69 kmpl,22.69,1995 CC,1995,1000-2000,190 bhp,5,20.75
Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2010,71088,Petrol,Manual,First,13.5 kmpl,13.50,1799 CC,1799,1000-2000,130 bhp,5,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Ahmedabad,2014,55000,Diesel,Manual,First,12.99 kmpl,12.99,2494 CC,2494,2000-3000,100.6 bhp,7,11.11
Volvo V40 Cross Country D3,Volvo,Bangalore,2014,32700,Diesel,Automatic,First,23.3 kmpl,23.30,1984 CC,1984,1000-2000,150 bhp,5,20
Nissan Micra XV CVT,Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,19.15 kmpl,19.15,1198 CC,1198,1000-2000,75.94 bhp,5,6.55
BMW 5 Series 2010-2013 525i,BMW,Mumbai,2009,128000,Petrol,Automatic,First,10.8 kmpl,10.80,2497 CC,2497,2000-3000,215 bhp,5,7
Maruti Vitara Brezza VDi,Maruti,Mumbai,2016,55000,Diesel,Manual,First,24.3 kmpl,24.30,1248 CC,1248,1000-2000,88.5 bhp,5,7.5
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Mumbai,2005,102000,Petrol,Manual,Second,17.0 kmpl,17.00,1086 CC,1086,1000-2000,null bhp,5,0.85
Mercedes-Benz B Class B200 CDI,Mercedes-Benz,Pune,2014,53753,Diesel,Automatic,Second,15.0 kmpl,15.00,2143 CC,2143,2000-3000,107.3 bhp,5,16.75
Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kolkata,2018,10250,Diesel,Manual,First,22.0 kmpl,22.00,1582 CC,1582,1000-2000,126.2 bhp,5,10.95
Maruti Wagon R LXI BS IV,Maruti,Pune,2011,43874,Petrol,Manual,First,18.9 kmpl,18.90,998 CC,998,<1000,67.1 bhp,5,2.45
Tata Nano XTA,Tata,Coimbatore,2017,32684,Petrol,Automatic,First,21.9 kmpl,21.90,624 CC,624,<1000,37.48 bhp,4,3.23
Mahindra Scorpio VLX,Mahindra,Kolkata,2014,42000,Diesel,Manual,First,12.05 kmpl,12.05,2179 CC,2179,2000-3000,120 bhp,8,7.75
Mercedes-Benz New C-Class 200 K AT,Mercedes-Benz,Kolkata,2009,28352,Petrol,Automatic,First,11.7 kmpl,11.70,1796 CC,1796,1000-2000,178 bhp,5,9.35
Maruti Wagon R LXI CNG,Maruti,Pune,2013,89900,CNG,Manual,First,26.6 km/kg,26.60,998 CC,998,<1000,58.16 bhp,5,3.25
Honda CR-V 2.4 MT,Honda,Bangalore,2007,47700,Petrol,Manual,Second,10.8 kmpl,10.80,2354 CC,2354,2000-3000,152 bhp,5,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,Pune,2015,55000,Diesel,Automatic,First,21.21 kmpl,21.21,1498 CC,1498,1000-2000,103.2 bhp,5,7.25
Maruti Ciaz VXi Plus,Maruti,Kochi,2017,44285,Petrol,Manual,First,20.73 kmpl,20.73,1373 CC,1373,1000-2000,91.1 bhp,5,7.47
Mahindra XUV500 AT W10 FWD,Mahindra,Jaipur,2016,54000,Diesel,Automatic,First,16.0 kmpl,16.00,2179 CC,2179,2000-3000,140 bhp,7,13.25
Maruti Ritz VXI ABS,Maruti,Coimbatore,2016,30232,Petrol,Manual,First,21.1 kmpl,21.10,1197 CC,1197,1000-2000,85.80 bhp,5,5.81
Maruti Alto K10 VXI,Maruti,Hyderabad,2014,88500,Petrol,Manual,First,24.07 kmpl,24.07,998 CC,998,<1000,67.1 bhp,5,2.6
Mercedes-Benz SLC 43 AMG,Mercedes-Benz,Kolkata,2017,13372,Petrol,Automatic,First,19.0 kmpl,19.00,2996 CC,2996,2000-3000,362.07 bhp,2,54
Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,2019,12645,Petrol,Automatic,First,17.0 kmpl,17.00,1591 CC,1591,1000-2000,121.3 bhp,5,11.5
Maruti Alto LXi BSIII,Maruti,Chennai,2010,94385,Petrol,Manual,Second,19.7 kmpl,19.70,796 CC,796,<1000,46.3 bhp,5,1.6
BMW 1 Series 118d Base,BMW,Coimbatore,2015,31821,Diesel,Automatic,First,20.58 kmpl,20.58,1995 CC,1995,1000-2000,143 bhp,5,17.22
Honda Jazz 1.2 V CVT i VTEC,Honda,Mumbai,2015,12000,Petrol,Automatic,First,19.0 kmpl,19.00,1199 CC,1199,1000-2000,88.7 bhp,5,6
Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2012,88578,Petrol,Manual,First,13.5 kmpl,13.50,1799 CC,1799,1000-2000,130 bhp,5,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,Kochi,2014,44965,Diesel,Automatic,First,19.27 kmpl,19.27,2143 CC,2143,2000-3000,170 bhp,5,17.95
Honda Amaze SX i-DTEC,Honda,Kolkata,2014,45044,Diesel,Manual,First,25.8 kmpl,25.80,1498 CC,1498,1000-2000,98.6 bhp,5,3.7
Maruti Swift VVT VXI,Maruti,Kochi,2016,34204,Petrol,Manual,First,22.0 kmpl,22.00,1197 CC,1197,1000-2000,81.80 bhp,5,5.43
Hyundai Santro Xing XO eRLX Euro II,Hyundai,Kochi,2008,80759,Petrol,Manual,Third,17.0 kmpl,17.00,1086 CC,1086,1000-2000,null bhp,5,1.67
Toyota Fortuner 3.0 Diesel,Toyota,Coimbatore,2012,91235,Diesel,Manual,First,11.5 kmpl,11.50,2982 CC,2982,2000-3000,171 bhp,7,13.49
Chevrolet Beat LT Option,Chevrolet,Pune,2014,38800,Petrol,Manual,First,18.6 kmpl,18.60,1199 CC,1199,1000-2000,76.8 bhp,5,2.85
Skoda Rapid 1.5 TDI Elegance,Skoda,Chennai,2013,83000,Diesel,Manual,First,21.14 kmpl,21.14,1498 CC,1498,1000-2000,103.52 bhp,5,4.75
Maruti Ciaz 1.4 Alpha,Maruti,Kochi,2018,41283,Petrol,Manual,First,20.73 kmpl,20.73,1373 CC,1373,1000-2000,91.1 bhp,5,9.9
Audi RS5 Coupe,Audi,Mumbai,2013,23000,Petrol,Automatic,First,11.05 kmpl,11.05,2894 CC,2894,2000-3000,444 bhp,4,37
BMW 3 Series Luxury Line,BMW,Mumbai,2014,48000,Diesel,Automatic,First,21.76 kmpl,21.76,1995 CC,1995,1000-2000,190 bhp,5,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Coimbatore,2015,48214,Diesel,Automatic,First,17.11 kmpl,17.11,1968 CC,1968,1000-2000,174.33 bhp,5,23.32
Maruti Swift VDI,Maruti,Chennai,2016,35000,Diesel,Manual,First,22.9 kmpl,22.90,1248 CC,1248,1000-2000,74 bhp,5,6.25
Mercedes-Benz S Class 2005 2013 S 500,Mercedes-Benz,Kolkata,2010,35277,Petrol,Automatic,First,7.81 kmpl,7.81,5461 CC,5461,5000+,362.9 bhp,5,30
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,Coimbatore,2016,54620,Diesel,Automatic,First,21.66 kmpl,21.66,1498 CC,1498,1000-2000,103.52 bhp,5,9.86
Skoda Superb Elegance 2.0 TDI CR AT,Skoda,Pune,2012,136997,Diesel,Automatic,First,17.2 kmpl,17.20,1968 CC,1968,1000-2000,138.1 bhp,5,8.5
Hyundai EON Magna Plus,Hyundai,Kochi,2019,14322,Petrol,Manual,First,21.1 kmpl,21.10,814 CC,814,<1000,55.2 bhp,5,4.23
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Jaipur,2012,65634,Diesel,Manual,First,22.07 kmpl,22.07,1199 CC,1199,1000-2000,73.9 bhp,5,3.5
Datsun GO NXT,Datsun,Kolkata,2016,6000,Petrol,Manual,First,20.63 kmpl,20.63,1198 CC,1198,1000-2000,67.06 bhp,5,2.5
